stage,stage_date,stage_start,stage_finish,stage_rank,gc_rank,gc_gap,rider_name,team_name,bonus_sec,gap_time,stage_time,did_finish
9,13.07.2025,Chinon,Châteauroux,1,144,+1:07:14,Merlier Tim,Soudal Quick-Step,00:00:10,03:28:52,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,2,141,+1:06:50,Milan Jonathan,Lidl - Trek,00:00:06,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,3,161,+1:14:56,De Lie Arnaud,Lotto,00:00:04,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,4,137,+1:05:15,Bittner Pavel,Team Picnic PostNL,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,5,120,+59:01,Penhoët Paul,Groupama - FDJ,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,6,142,+1:06:54,Girmay Biniam,Intermarché - Wanty,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,7,156,+1:10:43,Bauhaus Phil,Bahrain - Victorious,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,8,171,+1:19:30,Meeus Jordi,Red Bull - BORA - hansgrohe,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,9,139,+1:06:06,Fredheim Stian,Uno-X Mobility,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,10,91,+46:25,Groves Kaden,Alpecin - Deceuninck,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,11,140,+1:06:47,Renard Alexis,Cofidis,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,12,121,+59:25,Ackermann Pascal,Israel - Premier Tech,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,13,151,+1:09:50,Démare Arnaud,Arkéa - B&B Hotels,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,14,104,+50:51,Turgis Anthony,Team TotalEnergies,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,15,147,+1:07:51,Groenewegen Dylan,Team Jayco AlUla,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,16,129,+1:02:22,Dainese Alberto,Tudor Pro Cycling Team,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,17,58,+30:36,Tronchon Bastien,Decathlon AG2R La Mondiale Team,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,18,50,+27:21,Trentin Matteo,Tudor Pro Cycling Team,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,19,122,+59:43,van Poppel Danny,Red Bull - BORA - hansgrohe,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,20,152,+1:10:12,Bol Cees,XDS Astana Team,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,21,90,+45:37,Coquard Bryan,Cofidis,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,22,167,+1:17:35,Fedorov Yevgeniy,XDS Astana Team,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,23,83,+43:14,García Cortina Iván,Movistar Team,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,24,18,+8:13,Martin Guillaume,Groupama - FDJ,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,25,15,+4:51,Rodríguez Carlos,INEOS Grenadiers,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,26,1,+0:00,Pogačar Tadej,UAE Team Emirates - XRG,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,27,4,+1:17,Vingegaard Jonas,Team Visma | Lease a Bike,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,28,55,+30:21,van den Broek Frank,Team Picnic PostNL,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,29,88,+45:18,Le Berre Mathis,Arkéa - B&B Hotels,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,30,2,+0:54,Evenepoel Remco,Soudal Quick-Step,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,31,132,+1:03:28,Stewart Jake,Israel - Premier Tech,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,32,3,+1:11,Vauquelin Kévin,Arkéa - B&B Hotels,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,33,12,+4:28,Johannessen Tobias Halland,Uno-X Mobility,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,34,9,+3:06,Roglič Primož,Red Bull - BORA - hansgrohe,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,35,124,+1:00:16,Watson Samuel,INEOS Grenadiers,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,36,8,+3:02,Lipowitz Florian,Red Bull - BORA - hansgrohe,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,37,95,+48:15,Teunissen Mike,XDS Astana Team,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,38,10,+3:43,Skjelmose Mattias,Lidl - Trek,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,39,52,+28:48,Naesen Oliver,Decathlon AG2R La Mondiale Team,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,40,13,+4:35,Mas Enric,Movistar Team,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,41,62,+32:33,Gachignard Thomas,Team TotalEnergies,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,42,33,+19:09,Berthet Clément,Decathlon AG2R La Mondiale Team,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,43,5,+1:34,Jorgenson Matteo,Team Visma | Lease a Bike,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,44,43,+25:05,Scotson Callum,Decathlon AG2R La Mondiale Team,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,45,11,+3:55,Healy Ben,EF Education - EasyPost,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,46,17,+7:23,Paret-Peintre Aurélien,Decathlon AG2R La Mondiale Team,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,47,16,+5:39,Jegat Jordan,Team TotalEnergies,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,48,14,+4:49,Gall Felix,Decathlon AG2R La Mondiale Team,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,49,7,+2:49,Onley Oscar,Team Picnic PostNL,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,50,27,+17:01,Barguil Warren,Team Picnic PostNL,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,51,34,+19:38,Laurance Axel,INEOS Grenadiers,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,52,148,+1:08:21,Van Lerberghe Bert,Soudal Quick-Step,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,53,94,+47:46,Louvel Matis,Israel - Premier Tech,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,54,20,+8:35,Buchmann Emanuel,Cofidis,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,55,101,+50:33,Van Moer Brent,Lotto,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,56,51,+28:38,Stuyven Jasper,Lidl - Trek,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,57,26,+16:58,Powless Neilson,EF Education - EasyPost,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,58,37,+22:26,Hoelgaard Markus,Uno-X Mobility,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,59,73,+37:47,Moscon Gianni,Red Bull - BORA - hansgrohe,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,60,160,+1:14:05,Boivin Guillaume,Israel - Premier Tech,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,61,68,+35:32,Neilands Krists,Israel - Premier Tech,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,62,54,+30:06,Andresen Tobias Lund,Team Picnic PostNL,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,63,118,+58:50,Russo Clément,Groupama - FDJ,,00:00:00,03:28:52,TRUE
9,13.07.2025,Chinon,Châteauroux,64,49,+26:47,van Aert Wout,Team Visma | Lease a Bike,,00:00:17,03:29:09,TRUE
9,13.07.2025,Chinon,Châteauroux,65,66,+34:47,Barthe Cyril,Groupama - FDJ,,00:00:17,03:29:09,TRUE
9,13.07.2025,Chinon,Châteauroux,66,57,+30:26,Campenaerts Victor,Team Visma | Lease a Bike,,00:00:17,03:29:09,TRUE
9,13.07.2025,Chinon,Châteauroux,67,159,+1:12:28,Drizners Jarrad,Lotto,,00:00:17,03:29:09,TRUE
9,13.07.2025,Chinon,Châteauroux,68,6,+1:46,van der Poel Mathieu ,Alpecin - Deceuninck,,00:00:17,03:29:09,TRUE
9,13.07.2025,Chinon,Châteauroux,69,102,+50:45,Albanese Vincenzo,EF Education - EasyPost,,00:00:17,03:29:09,TRUE
9,13.07.2025,Chinon,Châteauroux,70,60,+31:19,Aranburu Alex,Cofidis,,00:00:17,03:29:09,TRUE
9,13.07.2025,Chinon,Châteauroux,71,138,+1:05:23,Mezgec Luka,Team Jayco AlUla,,00:00:17,03:29:09,TRUE
9,13.07.2025,Chinon,Châteauroux,72,157,+1:11:20,Rex Laurenz,Intermarché - Wanty,,00:00:17,03:29:09,TRUE
9,13.07.2025,Chinon,Châteauroux,73,103,+50:46,Mohorič Matej,Bahrain - Victorious,,00:00:17,03:29:09,TRUE
9,13.07.2025,Chinon,Châteauroux,74,22,+11:09,Grégoire Romain,Groupama - FDJ,,00:00:17,03:29:09,TRUE
9,13.07.2025,Chinon,Châteauroux,75,21,+10:16,Benoot Tiesj,Team Visma | Lease a Bike,,00:00:17,03:29:09,TRUE
9,13.07.2025,Chinon,Châteauroux,76,40,+24:09,Vlasov Aleksandr,Red Bull - BORA - hansgrohe,,00:00:17,03:29:09,TRUE
9,13.07.2025,Chinon,Châteauroux,77,126,+1:01:31,Sepúlveda Eduardo,Lotto,,00:00:17,03:29:09,TRUE
9,13.07.2025,Chinon,Châteauroux,78,23,+11:40,Berckmoes Jenno,Lotto,,00:00:17,03:29:09,TRUE
9,13.07.2025,Chinon,Châteauroux,79,19,+8:28,Narváez Jhonatan,UAE Team Emirates - XRG,,00:00:17,03:29:09,TRUE
9,13.07.2025,Chinon,Châteauroux,80,74,+38:22,Asgreen Kasper,EF Education - EasyPost,,00:00:17,03:29:09,TRUE
9,13.07.2025,Chinon,Châteauroux,81,134,+1:03:57,Reinders Elmar,Team Jayco AlUla,,00:00:17,03:29:09,TRUE
9,13.07.2025,Chinon,Châteauroux,82,165,+1:17:27,Theuns Edward,Lidl - Trek,,00:00:17,03:29:09,TRUE
9,13.07.2025,Chinon,Châteauroux,83,166,+1:17:29,Dillier Silvan,Alpecin - Deceuninck,,00:00:17,03:29:09,TRUE
9,13.07.2025,Chinon,Châteauroux,84,31,+18:13,Kuss Sepp,Team Visma | Lease a Bike,,00:00:17,03:29:09,TRUE
9,13.07.2025,Chinon,Châteauroux,85,67,+35:09,Izagirre Ion,Cofidis,,00:00:17,03:29:09,TRUE
9,13.07.2025,Chinon,Châteauroux,86,47,+26:00,Arensman Thymen,INEOS Grenadiers,,00:00:17,03:29:09,TRUE
9,13.07.2025,Chinon,Châteauroux,87,162,+1:16:37,Gradek Kamil,Bahrain - Victorious,,00:00:17,03:29:09,TRUE
9,13.07.2025,Chinon,Châteauroux,88,96,+48:21,Wright Fred,Bahrain - Victorious,,00:00:41,03:29:33,TRUE
9,13.07.2025,Chinon,Châteauroux,89,154,+1:10:19,Page Hugo,Intermarché - Wanty,,00:00:49,03:29:41,TRUE
9,13.07.2025,Chinon,Châteauroux,90,35,+20:23,Venturini Clément,Arkéa - B&B Hotels,,00:00:49,03:29:41,TRUE
9,13.07.2025,Chinon,Châteauroux,91,32,+18:43,Delettre Alexandre,Team TotalEnergies,,00:00:54,03:29:46,TRUE
9,13.07.2025,Chinon,Châteauroux,92,85,+43:25,Stannard Robert,Bahrain - Victorious,,00:01:04,03:29:56,TRUE
9,13.07.2025,Chinon,Châteauroux,93,81,+43:02,Touzé Damien,Cofidis,,00:01:07,03:29:59,TRUE
9,13.07.2025,Chinon,Châteauroux,94,153,+1:10:15,Braet Vito,Intermarché - Wanty,,00:01:12,03:30:04,TRUE
9,13.07.2025,Chinon,Châteauroux,95,92,+47:01,Mayrhofer Marius,Tudor Pro Cycling Team,,00:01:12,03:30:04,TRUE
9,13.07.2025,Chinon,Châteauroux,96,77,+40:19,Leknessund Andreas,Uno-X Mobility,,00:01:12,03:30:04,TRUE
9,13.07.2025,Chinon,Châteauroux,97,24,+14:22,Meurisse Xandro,Alpecin - Deceuninck,,00:01:12,03:30:04,TRUE
9,13.07.2025,Chinon,Châteauroux,98,36,+22:20,Eenkhoorn Pascal,Soudal Quick-Step,,00:01:12,03:30:04,TRUE
9,13.07.2025,Chinon,Châteauroux,99,89,+45:23,Teuns Dylan,Cofidis,,00:01:12,03:30:04,TRUE
9,13.07.2025,Chinon,Châteauroux,100,59,+30:38,Oliveira Nelson,Movistar Team,,00:01:12,03:30:04,TRUE
9,13.07.2025,Chinon,Châteauroux,101,98,+48:43,Valgren Michael,EF Education - EasyPost,,00:01:22,03:30:14,TRUE
9,13.07.2025,Chinon,Châteauroux,102,30,+17:51,Pacher Quentin,Groupama - FDJ,,00:01:22,03:30:14,TRUE
9,13.07.2025,Chinon,Châteauroux,103,41,+24:47,Van Wilder Ilan,Soudal Quick-Step,,00:01:44,03:30:36,TRUE
9,13.07.2025,Chinon,Châteauroux,104,133,+1:03:46,Capiot Amaury,Arkéa - B&B Hotels,,00:01:44,03:30:36,TRUE
9,13.07.2025,Chinon,Châteauroux,105,150,+1:09:42,Cort Magnus,Uno-X Mobility,,00:01:52,03:30:44,TRUE
9,13.07.2025,Chinon,Châteauroux,106,48,+26:01,Thomas Geraint,INEOS Grenadiers,,00:01:52,03:30:44,TRUE
9,13.07.2025,Chinon,Châteauroux,107,87,+45:04,Swift Connor,INEOS Grenadiers,,00:01:52,03:30:44,TRUE
9,13.07.2025,Chinon,Châteauroux,108,46,+25:35,Sweeny Harry,EF Education - EasyPost,,00:01:52,03:30:44,TRUE
9,13.07.2025,Chinon,Châteauroux,109,44,+25:15,Baudin Alex,EF Education - EasyPost,,00:01:52,03:30:44,TRUE
9,13.07.2025,Chinon,Châteauroux,110,97,+48:28,Verstrynge Emiel,Alpecin - Deceuninck,,00:02:06,03:30:58,TRUE
9,13.07.2025,Chinon,Châteauroux,111,65,+34:36,Simmons Quinn,Lidl - Trek,,00:02:20,03:31:12,TRUE
9,13.07.2025,Chinon,Châteauroux,112,71,+37:12,Soler Marc,UAE Team Emirates - XRG,,00:02:20,03:31:12,TRUE
9,13.07.2025,Chinon,Châteauroux,113,84,+43:22,Pithie Laurence,Red Bull - BORA - hansgrohe,,00:02:20,03:31:12,TRUE
9,13.07.2025,Chinon,Châteauroux,114,145,+1:07:41,Askey Lewis,Groupama - FDJ,,00:02:20,03:31:12,TRUE
9,13.07.2025,Chinon,Châteauroux,115,136,+1:05:15,Affini Edoardo,Team Visma | Lease a Bike,,00:02:43,03:31:35,TRUE
9,13.07.2025,Chinon,Châteauroux,116,164,+1:17:03,Consonni Simone,Lidl - Trek,,00:02:43,03:31:35,TRUE
9,13.07.2025,Chinon,Châteauroux,117,114,+56:41,Rickaert Jonas ,Alpecin - Deceuninck,,00:03:03,03:31:55,TRUE
9,13.07.2025,Chinon,Châteauroux,118,169,+1:17:44,Grignard Sébastien,Lotto,,00:04:08,03:33:00,TRUE
9,13.07.2025,Chinon,Châteauroux,119,135,+1:05:12,Flynn Sean,Team Picnic PostNL,,00:04:37,03:33:29,TRUE
9,13.07.2025,Chinon,Châteauroux,120,107,+51:47,Paret-Peintre Valentin,Soudal Quick-Step,,00:05:39,03:34:31,TRUE
9,13.07.2025,Chinon,Châteauroux,121,80,+42:13,Schachmann Maximilian,Soudal Quick-Step,,00:06:58,03:35:50,TRUE
9,13.07.2025,Chinon,Châteauroux,122,117,+58:44,Politt Nils,UAE Team Emirates - XRG,,00:06:58,03:35:50,TRUE
9,13.07.2025,Chinon,Châteauroux,123,146,+1:07:43,Rutsch Jonas,Intermarché - Wanty,,00:06:58,03:35:50,TRUE
9,13.07.2025,Chinon,Châteauroux,124,173,+1:24:12,Ballerini Davide,XDS Astana Team,,00:06:58,03:35:50,TRUE
9,13.07.2025,Chinon,Châteauroux,125,105,+51:28,Johannessen Anders Halland,Uno-X Mobility,,00:06:58,03:35:50,TRUE
9,13.07.2025,Chinon,Châteauroux,126,158,+1:11:43,Wærenskjold Søren,Uno-X Mobility,,00:06:58,03:35:50,TRUE
9,13.07.2025,Chinon,Châteauroux,127,78,+40:44,Armirail Bruno,Decathlon AG2R La Mondiale Team,,00:06:58,03:35:50,TRUE
9,13.07.2025,Chinon,Châteauroux,128,128,+1:02:05,Storer Michael,Tudor Pro Cycling Team,,00:06:58,03:35:50,TRUE
9,13.07.2025,Chinon,Châteauroux,129,99,+49:58,Woods Michael,Israel - Premier Tech,,00:06:58,03:35:50,TRUE
9,13.07.2025,Chinon,Châteauroux,130,108,+52:33,Haller Marco,Tudor Pro Cycling Team,,00:06:58,03:35:50,TRUE
9,13.07.2025,Chinon,Châteauroux,131,172,+1:20:38,Lienhard Fabian,Tudor Pro Cycling Team,,00:06:58,03:35:50,TRUE
9,13.07.2025,Chinon,Châteauroux,132,75,+39:06,Alaphilippe Julian,Tudor Pro Cycling Team,,00:06:58,03:35:50,TRUE
9,13.07.2025,Chinon,Châteauroux,133,130,+1:02:32,Castrillo Pablo,Movistar Team,,00:06:58,03:35:50,TRUE
9,13.07.2025,Chinon,Châteauroux,134,113,+55:03,Romeo Iván,Movistar Team,,00:06:58,03:35:50,TRUE
9,13.07.2025,Chinon,Châteauroux,135,38,+22:46,Cras Steff,Team TotalEnergies,,00:06:58,03:35:50,TRUE
9,13.07.2025,Chinon,Châteauroux,136,127,+1:02:00,Märkl Niklas,Team Picnic PostNL,,00:06:58,03:35:50,TRUE
9,13.07.2025,Chinon,Châteauroux,137,149,+1:09:09,Naberman Tim,Team Picnic PostNL,,00:06:58,03:35:50,TRUE
9,13.07.2025,Chinon,Châteauroux,138,174,+1:25:53,van Sintmaartensdijk Roel,Intermarché - Wanty,,00:06:58,03:35:50,TRUE
9,13.07.2025,Chinon,Châteauroux,139,25,+15:23,O'Connor Ben,Team Jayco AlUla,,00:06:58,03:35:50,TRUE
9,13.07.2025,Chinon,Châteauroux,140,170,+1:17:50,Durbridge Luke,Team Jayco AlUla,,00:06:58,03:35:50,TRUE
9,13.07.2025,Chinon,Châteauroux,141,109,+52:48,Schmid Mauro,Team Jayco AlUla,,00:06:58,03:35:50,TRUE
9,13.07.2025,Chinon,Châteauroux,142,125,+1:01:26,Plapp Luke,Team Jayco AlUla,,00:06:58,03:35:50,TRUE
9,13.07.2025,Chinon,Châteauroux,143,123,+1:00:14,Rubio Einer,Movistar Team,,00:06:58,03:35:50,TRUE
9,13.07.2025,Chinon,Châteauroux,144,29,+17:50,Rodríguez Cristián,Arkéa - B&B Hotels,,00:06:58,03:35:50,TRUE
9,13.07.2025,Chinon,Châteauroux,145,28,+17:26,Madouas Valentin,Groupama - FDJ,,00:06:58,03:35:50,TRUE
9,13.07.2025,Chinon,Châteauroux,146,42,+24:58,Yates Simon,Team Visma | Lease a Bike,,00:06:58,03:35:50,TRUE
9,13.07.2025,Chinon,Châteauroux,147,64,+34:23,Yates Adam,UAE Team Emirates - XRG,,00:06:58,03:35:50,TRUE
9,13.07.2025,Chinon,Châteauroux,148,53,+29:19,Blackmore Joseph,Israel - Premier Tech,,00:06:58,03:35:50,TRUE
9,13.07.2025,Chinon,Châteauroux,149,86,+44:39,Hirschi Marc,Tudor Pro Cycling Team,,00:06:58,03:35:50,TRUE
9,13.07.2025,Chinon,Châteauroux,150,131,+1:02:39,Martinez Lenny,Bahrain - Victorious,,00:06:58,03:35:50,TRUE
9,13.07.2025,Chinon,Châteauroux,151,116,+57:26,Costiou Ewen,Arkéa - B&B Hotels,,00:06:58,03:35:50,TRUE
9,13.07.2025,Chinon,Châteauroux,152,115,+57:15,Zimmermann Georg,Intermarché - Wanty,,00:06:58,03:35:50,TRUE
9,13.07.2025,Chinon,Châteauroux,153,63,+33:48,Skujiņš Toms,Lidl - Trek,,00:06:58,03:35:50,TRUE
