stage,stage_date,stage_start,stage_finish,stage_rank,gc_rank,gc_gap,rider_name,team_name,bonus_sec,gap_time,stage_time,did_finish
20,26.07.2025,Nantua,Pontarlier,1,86,+3:53:29,Groves Kaden ,Alpecin - Deceuninck,00:00:10,04:06:09,04:06:09,TRUE
20,26.07.2025,Nantua,Pontarlier,2,39,+2:45:44,van den Broek Frank ,Team Picnic PostNL,00:00:06,00:00:54,04:07:03,TRUE
20,26.07.2025,Nantua,Pontarlier,3,49,+3:00:25,Eenkhoorn Pascal ,Soudal Quick-Step,00:00:04,00:00:59,04:07:08,TRUE
20,26.07.2025,Nantua,Pontarlier,4,38,+2:41:31,Velasco Simone ,XDS Astana Team,,00:01:04,04:07:13,TRUE
20,26.07.2025,Nantua,Pontarlier,5,34,+2:25:58,Grégoire Romain ,Groupama - FDJ,,00:01:04,04:07:13,TRUE
20,26.07.2025,Nantua,Pontarlier,6,108,+4:36:37,Stewart Jake ,Israel - Premier Tech,,00:01:04,04:07:13,TRUE
20,26.07.2025,Nantua,Pontarlier,7,10,+32:42,Jegat Jordan ,Team TotalEnergies,,00:01:04,04:07:13,TRUE
20,26.07.2025,Nantua,Pontarlier,8,37,+2:38:24,Wellens Tim ,UAE Team Emirates - XRG,,00:01:04,04:07:13,TRUE
20,26.07.2025,Nantua,Pontarlier,9,19,+1:29:28,Jorgenson Matteo ,Team Visma | Lease a Bike,,00:01:04,04:07:13,TRUE
20,26.07.2025,Nantua,Pontarlier,10,35,+2:27:58,Sweeny Harry ,EF Education - EasyPost,,00:01:04,04:07:13,TRUE
20,26.07.2025,Nantua,Pontarlier,11,99,+4:12:31,Trentin Matteo ,Tudor Pro Cycling Team,,00:02:01,04:08:10,TRUE
20,26.07.2025,Nantua,Pontarlier,12,51,+3:06:35,Costiou Ewen ,Arkéa - B&B Hotels,,00:03:45,04:09:54,TRUE
20,26.07.2025,Nantua,Pontarlier,13,135,+5:20:28,Ballerini Davide,XDS Astana Team,,00:07:04,04:13:13,TRUE
20,26.07.2025,Nantua,Pontarlier,14,80,+3:49:28,Teunissen Mike,XDS Astana Team,,00:07:04,04:13:13,TRUE
20,26.07.2025,Nantua,Pontarlier,15,71,+3:36:21,Abrahamsen Jonas,Uno-X Mobility,,00:07:04,04:13:13,TRUE
