stage,stage_date,stage_start,stage_finish,stage_rank,gc_rank,gc_gap,rider_name,team_name,bonus_sec,gap_time,stage_time,did_finish
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),1,67,+3:33:56,van Aert Wout,Team Visma | Lease a Bike,00:00:10,03:07:30,03:07:30,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),2,135,+5:20:22,Ballerini Davide,XDS Astana Team,00:00:06,00:00:19,03:07:49,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),3,126,+5:10:13,Mohorič Matej,Bahrain - Victorious,00:00:04,00:00:19,03:07:49,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),4,1,+0:00,Pogačar Tadej,UAE Team Emirates - XRG,,00:00:19,03:07:49,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),5,19,+1:29:28,Jorgenson Matteo,Team Visma | Lease a Bike,,00:00:26,03:07:56,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),6,99,+4:12:31,Trentin Matteo,Tudor Pro Cycling Team,,00:00:38,03:08:08,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),7,142,+5:29:35,De Lie Arnaud,Lotto,,00:01:14,03:08:44,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),8,7,+22:35,Vauquelin Kévin,Arkéa - B&B Hotels,,00:01:14,03:08:44,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),9,80,+3:49:28,Teunissen Mike,XDS Astana Team,,00:01:14,03:08:44,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),10,90,+3:55:48,Teuns Dylan,Cofidis,,00:01:14,03:08:44,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),11,86,+3:53:29,Groves Kaden,Alpecin - Deceuninck,,00:01:22,03:08:52,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),12,96,+4:06:51,Andresen Tobias Lund,Team Picnic PostNL,,00:01:22,03:08:52,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),13,132,+5:14:55,Girmay Biniam,Intermarché - Wanty,,00:01:22,03:08:52,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),14,81,+3:49:29,Aranburu Alex,Cofidis,,00:01:22,03:08:52,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),15,47,+2:58:52,Powless Neilson,EF Education - EasyPost,,00:01:22,03:08:52,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),16,71,+3:36:21,Abrahamsen Jonas,Uno-X Mobility,,00:01:22,03:08:52,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),17,41,+2:47:05,Paret-Peintre Valentin,Soudal Quick-Step,,00:01:22,03:08:52,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),18,93,+4:01:44,Russo Clément,Groupama - FDJ,,00:01:22,03:08:52,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),19,56,+3:13:20,Alaphilippe Julian,Tudor Pro Cycling Team,,00:01:22,03:08:52,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),20,53,+3:10:10,Laurance Axel,INEOS Grenadiers,,00:01:22,03:08:52,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),21,28,+2:20:36,Campenaerts Victor,Team Visma | Lease a Bike,,00:01:34,03:09:04,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),22,104,+4:22:52,Wright Fred,Bahrain - Victorious,,00:01:46,03:09:16,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),23,77,+3:46:36,Tronchon Bastien,Decathlon AG2R La Mondiale Team,,00:02:07,03:09:37,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),24,25,+2:12:52,Paret-Peintre Aurélien,Decathlon AG2R La Mondiale Team,,00:02:07,03:09:37,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),25,66,+3:33:12,Berckmoes Jenno,Lotto,,00:02:07,03:09:37,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),26,62,+3:26:11,Stuyven Jasper,Lidl - Trek,,00:02:07,03:09:37,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),27,133,+5:17:44,Bittner Pavel,Team Picnic PostNL,,00:03:20,03:10:50,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),28,100,+4:13:01,Louvel Matis,Israel - Premier Tech,,00:03:42,03:11:12,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),29,49,+3:00:25,Eenkhoorn Pascal,Soudal Quick-Step,,00:04:34,03:12:04,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),30,127,+5:10:40,Askey Lewis,Groupama - FDJ,,00:05:08,03:12:38,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),31,108,+4:36:37,Stewart Jake,Israel - Premier Tech,,00:05:08,03:12:38,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),32,95,+4:04:16,Skujiņš Toms,Lidl - Trek,,00:05:08,03:12:38,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),33,149,+5:37:44,Boivin Guillaume,Israel - Premier Tech,,00:05:08,03:12:38,TRUE
21,27.07.2025,Mantes-la-Ville,Paris (Champs-Élysées),34,88,+3:54:25,Neilands Krists,Israel - Premier Tech,,00:05:08,03:12:38,TRUE
