stage,stage_date,stage_start,stage_finish,stage_rank,gc_rank,gc_gap,rider_name,team_name,bonus_sec,gap_time,stage_time,did_finish
19,25.07.2025,Albertville,La Plagne,1,12,+52:41,Arensman Thymen,INEOS Grenadiers,00:00:10,02:46:06,02:46:06,TRUE
19,25.07.2025,Albertville,La Plagne,2,2,+4:24,Vingegaard Jonas,Team Visma | Lease a Bike,00:00:06,00:00:02,02:46:08,TRUE
19,25.07.2025,Albertville,La Plagne,3,1,+0:00,Pogačar Tadej,UAE Team Emirates - XRG,00:00:04,00:00:02,02:46:08,TRUE
19,25.07.2025,Albertville,La Plagne,4,3,+11:09,Lipowitz Florian,Red Bull - BORA - hansgrohe,,00:00:06,02:46:12,TRUE
19,25.07.2025,Albertville,La Plagne,5,4,+12:12,Onley Oscar,Team Picnic PostNL,,00:00:47,02:46:53,TRUE
19,25.07.2025,Albertville,La Plagne,6,5,+17:12,Gall Felix,Decathlon AG2R La Mondiale Team,,00:01:34,02:47:40,TRUE
19,25.07.2025,Albertville,La Plagne,7,6,+20:14,Johannessen Tobias Halland,Uno-X Mobility,,00:01:41,02:47:47,TRUE
19,25.07.2025,Albertville,La Plagne,8,9,+28:02,Healy Ben,EF Education - EasyPost,,00:02:19,02:48:25,TRUE
19,25.07.2025,Albertville,La Plagne,9,41,+2:47:05,Paret-Peintre Valentin,Soudal Quick-Step,,00:03:47,02:49:53,TRUE
19,25.07.2025,Albertville,La Plagne,10,16,+1:17:30,Yates Simon,Team Visma | Lease a Bike,,00:03:54,02:50:00,TRUE
19,25.07.2025,Albertville,La Plagne,11,78,+3:42:52,Martinez Lenny,Bahrain - Victorious,,00:04:02,02:50:08,TRUE
19,25.07.2025,Albertville,La Plagne,12,10,+34:34,O'Connor Ben,Team Jayco AlUla,,00:05:13,02:51:19,TRUE
19,25.07.2025,Albertville,La Plagne,13,28,+2:12:52,Paret-Peintre Aurélien,Decathlon AG2R La Mondiale Team,,00:05:18,02:51:24,TRUE
19,25.07.2025,Albertville,La Plagne,14,11,+38:42,Jegat Jordan,Team TotalEnergies,,00:05:49,02:51:55,TRUE
19,25.07.2025,Albertville,La Plagne,15,18,+1:28:17,Mühlberger Gregor,Movistar Team,,00:06:18,02:52:24,TRUE
19,25.07.2025,Albertville,La Plagne,16,26,+2:05:23,Campenaerts Victor,Team Visma | Lease a Bike,,00:06:18,02:52:24,TRUE
19,25.07.2025,Albertville,La Plagne,17,7,+22:35,Vauquelin Kévin,Arkéa - B&B Hotels,,00:06:18,02:52:24,TRUE
19,25.07.2025,Albertville,La Plagne,18,30,+2:17:37,Berthet Clément,Decathlon AG2R La Mondiale Team,,00:06:28,02:52:34,TRUE
19,25.07.2025,Albertville,La Plagne,19,13,+1:04:36,Narváez Jhonatan,UAE Team Emirates - XRG,,00:06:32,02:52:38,TRUE
19,25.07.2025,Albertville,La Plagne,20,38,+2:39:21,Tejada Harold,XDS Astana Team,,00:06:46,02:52:52,TRUE
19,25.07.2025,Albertville,La Plagne,21,15,+1:08:19,Higuita Sergio,XDS Astana Team,,00:06:46,02:52:52,TRUE
19,25.07.2025,Albertville,La Plagne,22,46,+2:52:00,van den Broek Frank,Team Picnic PostNL,,00:08:00,02:54:06,TRUE
19,25.07.2025,Albertville,La Plagne,23,33,+2:21:56,Rubio Einer,Movistar Team,,00:09:35,02:55:41,TRUE
19,25.07.2025,Albertville,La Plagne,24,27,+2:10:27,Scotson Callum,Decathlon AG2R La Mondiale Team,,00:10:31,02:56:37,TRUE
19,25.07.2025,Albertville,La Plagne,25,29,+2:15:58,García Pierna Raúl,Arkéa - B&B Hotels,,00:11:51,02:57:57,TRUE
19,25.07.2025,Albertville,La Plagne,26,57,+3:09:54,Costiou Ewen,Arkéa - B&B Hotels,,00:11:58,02:58:04,TRUE
19,25.07.2025,Albertville,La Plagne,27,8,+25:30,Roglič Primož ,Red Bull - BORA - hansgrohe,,00:12:39,02:58:45,TRUE
19,25.07.2025,Albertville,La Plagne,28,25,+2:01:02,Vlasov Aleksandr,Red Bull - BORA - hansgrohe,,00:12:39,02:58:45,TRUE
19,25.07.2025,Albertville,La Plagne,29,31,+2:21:01,Soler Marc,UAE Team Emirates - XRG,,00:14:06,03:00:12,TRUE
19,25.07.2025,Albertville,La Plagne,30,19,+1:33:28,Yates Adam,UAE Team Emirates - XRG,,00:14:06,03:00:12,TRUE
19,25.07.2025,Albertville,La Plagne,31,37,+2:33:58,Sweeny Harry,EF Education - EasyPost,,00:14:57,03:01:03,TRUE
19,25.07.2025,Albertville,La Plagne,32,51,+2:59:05,Armirail Bruno,Decathlon AG2R La Mondiale Team,,00:15:13,03:01:19,TRUE
19,25.07.2025,Albertville,La Plagne,33,49,+2:58:52,Powless Neilson,EF Education - EasyPost,,00:15:13,03:01:19,TRUE
19,25.07.2025,Albertville,La Plagne,34,24,+1:43:46,Meurisse Xandro,Alpecin - Deceuninck,,00:15:23,03:01:29,TRUE
19,25.07.2025,Albertville,La Plagne,35,17,+1:18:07,Martin Guillaume,Groupama - FDJ,,00:15:23,03:01:29,TRUE
19,25.07.2025,Albertville,La Plagne,36,21,+1:36:15,Rodríguez Cristián,Arkéa - B&B Hotels,,00:15:23,03:01:29,TRUE
19,25.07.2025,Albertville,La Plagne,37,14,+1:05:11,Kuss Sepp,Team Visma | Lease a Bike,,00:15:23,03:01:29,TRUE
19,25.07.2025,Albertville,La Plagne,38,42,+2:47:31,Velasco Simone,XDS Astana Team,,00:15:23,03:01:29,TRUE
19,25.07.2025,Albertville,La Plagne,39,62,+3:21:48,Valgren Michael,EF Education - EasyPost,,00:15:23,03:01:29,TRUE
19,25.07.2025,Albertville,La Plagne,40,73,+3:35:15,Foss Tobias,INEOS Grenadiers,,00:15:49,03:01:55,TRUE
19,25.07.2025,Albertville,La Plagne,41,60,+3:12:48,Verstrynge Emiel,Alpecin - Deceuninck,,00:16:05,03:02:11,TRUE
