stage,stage_date,stage_start,stage_finish,stage_rank,gc_rank,gc_gap,rider_name,team_name,bonus_sec,gap_time,stage_time,did_finish
12,17.07.2025,Auch,Hautacam,1,1,+0:00,Pogačar Tadej,UAE Team Emirates - XRG,00:00:10,04:21:19,04:21:19,TRUE
12,17.07.2025,Auch,Hautacam,2,2,+3:31,Vingegaard Jonas,Team Visma | Lease a Bike,00:00:06,00:02:10,04:23:29,TRUE
12,17.07.2025,Auch,Hautacam,3,4,+5:34,Lipowitz Florian,Red Bull - BORA - hansgrohe,00:00:04,00:02:23,04:23:42,TRUE
12,17.07.2025,Auch,Hautacam,4,8,+7:44,Johannessen Tobias Halland,Uno-X Mobility,,00:03:00,04:24:19,TRUE
12,17.07.2025,Auch,Hautacam,5,6,+6:05,Onley Oscar,Team Picnic PostNL,,00:03:00,04:24:19,TRUE
12,17.07.2025,Auch,Hautacam,6,5,+5:40,Vauquelin Kévin,Arkéa - B&B Hotels,,00:03:33,04:24:52,TRUE
12,17.07.2025,Auch,Hautacam,7,3,+4:45,Evenepoel Remco,Soudal Quick-Step,,00:03:35,04:24:54,TRUE
12,17.07.2025,Auch,Hautacam,8,9,+9:21,Gall Felix,Decathlon AG2R La Mondiale Team,,00:04:02,04:25:21,TRUE
12,17.07.2025,Auch,Hautacam,9,7,+7:30,Roglič Primož,Red Bull - BORA - hansgrohe,,00:04:08,04:25:27,TRUE
12,17.07.2025,Auch,Hautacam,10,19,+30:21,Rodríguez Cristián,Arkéa - B&B Hotels,,00:07:26,04:28:45,TRUE
12,17.07.2025,Auch,Hautacam,11,71,+1:27:51,Rubio Einer ,Movistar Team,,00:07:27,04:28:46,TRUE
12,17.07.2025,Auch,Hautacam,12,50,+1:12:33,García Pierna Raúl ,Arkéa - B&B Hotels,,00:07:33,04:28:52,TRUE
12,17.07.2025,Auch,Hautacam,13,14,+19:30,Martin Guillaume ,Groupama - FDJ,,00:09:05,04:30:24,TRUE
12,17.07.2025,Auch,Hautacam,14,25,+40:53,Higuita Sergio,XDS Astana Team,,00:09:38,04:30:57,TRUE
12,17.07.2025,Auch,Hautacam,15,10,+12:12,Jorgenson Matteo,Team Visma | Lease a Bike,,00:10:25,04:31:44,TRUE
12,17.07.2025,Auch,Hautacam,16,17,+22:14,O'Connor Ben ,Team Jayco AlUla,,00:10:43,04:32:02,TRUE
