stage,stage_date,stage_start,stage_finish,stage_rank,gc_rank,gc_gap,rider_name,team_name,bonus_sec,gap_time,stage_time,did_finish
14,19.07.2025,Pau,Luchon-Superbagnères,1,16,+42:56,Arensman Thymen ,INEOS Grenadiers,00:00:10,04:53:35,04:53:35,TRUE
14,19.07.2025,Pau,Luchon-Superbagnères,2,1,+0:00,Pogačar Tadej,UAE Team Emirates - XRG,00:00:06,00:01:08,04:54:43,TRUE
14,19.07.2025,Pau,Luchon-Superbagnères,3,2,+4:13,Vingegaard Jonas,Team Visma | Lease a Bike,00:00:04,00:01:12,04:54:47,TRUE
14,19.07.2025,Pau,Luchon-Superbagnères,4,7,+12:00,Gall Felix,Decathlon AG2R La Mondiale Team,,00:01:19,04:54:54,TRUE
14,19.07.2025,Pau,Luchon-Superbagnères,5,3,+7:53,Lipowitz Florian,Red Bull - BORA - hansgrohe,,00:01:25,04:55:00,TRUE
14,19.07.2025,Pau,Luchon-Superbagnères,6,4,+9:18,Onley Oscar,Team Picnic PostNL,,00:02:09,04:55:44,TRUE
14,19.07.2025,Pau,Luchon-Superbagnères,7,9,+18:41,Healy Ben,EF Education - EasyPost,,00:02:46,04:56:21,TRUE
14,19.07.2025,Pau,Luchon-Superbagnères,8,6,+10:34,Roglič Primož,Red Bull - BORA - hansgrohe,,00:02:46,04:56:21,TRUE
14,19.07.2025,Pau,Luchon-Superbagnères,9,8,+12:33,Johannessen Tobias Halland ,Uno-X Mobility,,00:02:59,04:56:34,TRUE
14,19.07.2025,Pau,Luchon-Superbagnères,10,5,+10:21,Vauquelin Kévin,Arkéa - B&B Hotels,,00:03:08,04:56:43,TRUE
14,19.07.2025,Pau,Luchon-Superbagnères,11,10,+22:57,Rodríguez Carlos ,INEOS Grenadiers,,00:03:15,04:56:50,TRUE
14,19.07.2025,Pau,Luchon-Superbagnères,12,39,+1:32:39,Tejada Harold,XDS Astana Team,,00:03:45,04:57:20,TRUE
14,19.07.2025,Pau,Luchon-Superbagnères,13,11,+24:18,Jegat Jordan ,Team TotalEnergies,,00:03:49,04:57:24,TRUE
