stage,stage_date,stage_start,stage_finish,stage_rank,gc_rank,gc_gap,rider_name,team_name,bonus_sec,gap_time,stage_time,did_finish
4,08.07.2025,Amiens Métropole,Rouen,1,2,+0:00,Pogačar Tadej,UAE Team Emirates - XRG,00:00:10,03:50:29,03:50:29,TRUE
4,08.07.2025,Amiens Métropole,Rouen,2,1,+0:00,van der Poel Mathieu,Alpecin - Deceuninck,00:00:06,00:00:00,03:50:29,TRUE
4,08.07.2025,Amiens Métropole,Rouen,3,3,+0:08,Vingegaard Jonas,Team Visma | Lease a Bike,00:00:04,00:00:00,03:50:29,TRUE
4,08.07.2025,Amiens Métropole,Rouen,4,7,+0:55,Onley Oscar,Team Picnic PostNL,,00:00:00,03:50:29,TRUE
4,08.07.2025,Amiens Métropole,Rouen,5,40,+5:34,Grégoire Romain,Groupama - FDJ,,00:00:00,03:50:29,TRUE
4,08.07.2025,Amiens Métropole,Rouen,6,8,+0:55,Almeida João,UAE Team Emirates - XRG,,00:00:00,03:50:29,TRUE
4,08.07.2025,Amiens Métropole,Rouen,7,9,+0:58,Evenepoel Remco,Soudal Quick-Step,,00:00:03,03:50:32,TRUE
4,08.07.2025,Amiens Métropole,Rouen,8,4,+0:19,Jorgenson Matteo,Team Visma | Lease a Bike,,00:00:03,03:50:32,TRUE
4,08.07.2025,Amiens Métropole,Rouen,9,10,+1:02,Skjelmose Mattias,Lidl - Trek,,00:00:07,03:50:36,TRUE
4,08.07.2025,Amiens Métropole,Rouen,10,5,+0:26,Vauquelin Kévin,Arkéa - B&B Hotels,,00:00:10,03:50:39,TRUE
4,08.07.2025,Amiens Métropole,Rouen,11,37,+4:54,van Aert Wout,Team Visma | Lease a Bike,,00:00:30,03:50:59,TRUE
4,08.07.2025,Amiens Métropole,Rouen,12,12,+1:25,Paret-Peintre Aurélien,Decathlon AG2R La Mondiale Team,,00:00:30,03:50:59,TRUE
4,08.07.2025,Amiens Métropole,Rouen,13,46,+7:27,Baudin Alex,EF Education - EasyPost,,00:00:30,03:50:59,TRUE
